OBJECTID,Address Grid High,Address Grid Low,ENG_UNIQUE,Township Id,Road Id,Segment Id,Subsegment Id,Right City,Left County,Right County,Left State,Right State,Left FIPS,Right FIPS,Cardinality,Number of Lanes,Speed,Left City,Left Township,Right Township,Jurisdiction,Beginning Log Point,3D Length,Surface Type,Travel Direction,Reverse Direction,Divided,Alternate Pre Direction,Alternate Street Name,Alternate Suffix Direction,Alternate Street Type,End Log Point,Beginning Log Point 2,End Log Point 2,NLFID 2,Overlapping Road,Road ID,Pre Direction,Suffix Direction,Left To Address,Left From Address,Right To Address,Right From Address,Left Zip Code,Right Zip Code,Street Name,Street Type,Road Number,NLFID,Pre Type,Full Street Name,PNAME,Left Community,Right Community,Shield,SHAPE__Length
6126,520,392, ,,55,178,9,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,MILLWIND, ,DR,0,0,0, , ,655017809, , ,509,487,520,492,43082,43082,MILL WIND,DR,1154,MDELMR01154**C, ,MILL WIND DR,MILL WIND,WESTERVILLE,WESTERVILLE, ,156.670859489722
6127,520,392, ,,55,178,10,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,MILLWIND, ,DR,0,0,0, , ,655017810, , ,479,393,476,392,43082,43082,MILL WIND,DR,1154,MDELMR01154**C, ,MILL WIND DR,MILL WIND,WESTERVILLE,WESTERVILLE, ,380.543234438737
6128,562,490, ,,55,178,8,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,655017808, , ,561,491,562,490,43082,43082,WINFIELD MEADOWS,DR,1153,MDELMR01153**C, ,WINFIELD MEADOWS DR,WINFIELD MEADOWS,WESTERVILLE,WESTERVILLE, ,488.564016218869
6129,15900,11600,TRENTON,,31,2088,0, ,DEL,DEL,OH,OH,77336,33516,C,2,55, ,TRENTON TWP,HARLEM TWP,C,0,0,P,B, ,N, , , , ,0,0,0, , ,731208800, , ,12441,11619,12800,11600,43021,43021,TRENTON,RD,22,CDELCR00022**C, ,TRENTON RD,TRENTON,TRENTON TWP,HARLEM TWP, ,2939.14201561521
6130,494,154, ,,55,91,6,OSTRANDER,DEL,DEL,OH,OH,58940,58940,C,2,25,OSTRANDER, , ,M,0,0,P,B, ,N, ,LONG, ,TRAIL,0,0,0, , ,1555009106, , ,491,461,494,470,43061,43061,LONG,TRL,1168,MDELMR01168**C, ,LONG TRL,LONG,OSTRANDER,OSTRANDER, ,164.149194408313
6131,185,100, ,,55,91,3,OSTRANDER,DEL,DEL,OH,OH,58940,58940,C,2,25,OSTRANDER, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,1555009103, , ,101,185,100,156,43061,43061,CALUMET,CT,1169,MDELMR01169**C, ,CALUMET CT,CALUMET,OSTRANDER,OSTRANDER, ,328.739541978995
6132,473,154, ,,55,91,4,OSTRANDER,DEL,DEL,OH,OH,58940,58940,C,2,25,OSTRANDER, , ,M,0,0,P,B, ,N, ,LONG, ,TRAIL,0,0,0, , ,1555009104, , ,449,425,456,428,43061,43061,LONG,TRL,1168,MDELMR01168**C, ,LONG TRL,LONG,OSTRANDER,OSTRANDER, ,193.890633722893
6133,10600,3201, ,,12,91,0,OSTRANDER,DEL,DEL,OH,OH,70842,58940,C,2,55, ,SCIOTO TWP, ,S,0,0,P,B,True,N, ,US HIGHWAY 36/US 36/US HWY 36/36,W/W/W/, ,0,0,0, , ,1512009100, , ,0,0,0,0,43061,43061,MARYSVILLE,RD,36,SDELUS00036**C, ,MARYSVILLE RD,MARYSVILLE,SCIOTO TWP,OSTRANDER, ,97.1327026431135
6134,10600,3201, ,,12,91,3,OSTRANDER,DEL,DEL,OH,OH,70842,58940,C,2,55, , ,SCIOTO TWP,S,0,0,P,B,True,N, ,US HIGHWAY 36/US 36/US HWY 36/36,W/W/W/, ,0,0,0, , ,1512009103, , ,0,0,0,0,43061,43061,MARYSVILLE,RD,36,SDELUS00036**C, ,MARYSVILLE RD,MARYSVILLE,SCIOTO TWP,OSTRANDER, ,81.0818843468957
6135,473,154, ,,55,91,2,OSTRANDER,DEL,DEL,OH,OH,58940,58940,C,2,25,OSTRANDER, , ,M,0,0,P,B, ,N, ,LONG, ,TRAIL,0,0,0, , ,1555009102, , ,413,401,414,400,43061,43061,LONG,TRL,1168,MDELMR01168**C, ,LONG TRL,LONG,OSTRANDER,OSTRANDER, ,160.92655458779
